kode_wilayah,nama_wilayah,level,kode_parent
11,ACEH,provinsi,
1101,SIMEULUE,kabupaten,11
1101010,TEUPAH SELATAN,kecamatan,1101
1101010001,LATIUNG,desa,1101010
1101010002,LABUHAN BAJAU,desa,1101010
1101010003,SUAK LAMATAN,desa,1101010
1101010004,ANA AO,desa,1101010
1101010005,LATALING,desa,1101010
1101010006,PULAU BANGKALAK,desa,1101010
1101010007,BADEGONG,desa,1101010
1101010008,KEBUN BARU,desa,1101010
1101010009,ULUL MAYANG,desa,1101010
1101010010,PASIR TINGGI,desa,1101010
1101010011,LABUHAN JAYA,desa,1101010
1101010012,LABUHAN BAKTI,desa,1101010
1101010013,BATU RALANG,desa,1101010
1101010014,ALUS ALUS,desa,1101010
1101010015,SENEUBUK,desa,1101010
1101010016,BLANG SEBEL,desa,1101010
1101010017,TRANS BARU,desa,1101010
1101010018,TRANS MERANTI,desa,1101010
1101010019,TRANS JERNGE,desa,1101010
1101020,SIMEULUE TIMUR,kecamatan,1101
1101020022,AIR PINANG,desa,1101020
1101020023,KUALA MAKMUR,desa,1101020
1101020024,GANTING,desa,1101020
1101020025,LINGGI,desa,1101020
1101020026,LUGU,desa,1101020
1101020027,SINABANG,desa,1101020
1101020028,SUKA MAJU,desa,1101020
1101020029,SUKA KARYA,desa,1101020
1101020030,SUKA JAYA,desa,1101020
1101020031,AIR DINGIN,desa,1101020
1101020032,KOTA BATU,desa,1101020
1101020035,SUAK BULUH,desa,1101020
1101020036,UJUNG TINGGI,desa,1101020
1101020037,PULAU SIUMAT,desa,1101020
1101020038,SEFOYAN,desa,1101020
1101020039,AMAITENG MULIA,desa,1101020
1101020040,AMERIA BAHAGIA,desa,1101020
1101021,TEUPAH BARAT,kecamatan,1101
1101021001,SITAL,desa,1101021
1101021002,LEUBANG,desa,1101021
1101021003,LEUBANG HULU,desa,1101021
1101021004,AWE SEUBAL,desa,1101021
1101021005,LANTIK,desa,1101021
1101021006,AWE KECIL,desa,1101021
1101021007,SALUR,desa,1101021
1101021008,SALUR LATUN,desa,1101021
1101021009,SALUR LASENGALU,desa,1101021
1101021010,NANCALA,desa,1101021
1101021011,MAUDIL,desa,1101021
1101021012,INOR,desa,1101021
1101021013,NAIBOS,desa,1101021
1101021014,LAAYON,desa,1101021
1101021015,ANGKEO,desa,1101021
1101021016,BUNON,desa,1101021
1101021017,SILENGAS,desa,1101021
1101021018,PULAU TEUPAH,desa,1101021
1101022,TEUPAH TENGAH,kecamatan,1101
1101022001,KAHAD,desa,1101022
1101022002,BUSUNG INDAH,desa,1101022
1101022003,NANCAWA,desa,1101022
1101022004,LABUAH,desa,1101022
1101022005,ABAIL,desa,1101022
1101022006,SIMPANG ABAIL,desa,1101022
1101022007,LANTING,desa,1101022
1101022008,LASIKIN,desa,1101022
1101022009,MATANURUNG,desa,1101022
